blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueWins
33,2,0,2,11,1,0,16884,201,59,0
35,2,0,4,7,2,1,18544,218,58,0
10,4,0,7,11,1,0,18922,205,72,0
16,2,0,7,5,1,0,17968,230,43,0
15,1,0,8,10,1,1,17007,201,51,1
21,17,1,11,6,2,1,17315,201,51,1
11,2,0,4,10,0,0,17417,207,52,0
16,4,1,9,1,1,0,19459,232,46,1
16,0,0,1,5,0,0,17487,234,49,0
15,2,1,5,13,0,0,16910,190,65,0
15,2,1,6,3,1,0,16652,218,42,0
15,4,0,6,4,1,0,17424,216,45,0
16,3,1,9,3,0,0,20432,210,56,0
14,2,0,5,11,0,0,16916,199,36,0
19,3,0,0,6,0,0,16282,207,47,0
18,4,0,5,5,1,1,18886,249,51,0
14,2,1,8,4,1,0,17168,194,59,1
19,2,1,2,5,1,0,17656,242,44,0
14,1,0,3,11,0,0,16688,184,64,0
19,3,0,10,7,0,0,18275,229,44,0
43,3,0,5,12,0,0,17285,202,35,0
18,3,0,5,5,1,0,16397,208,54,1
15,2,0,6,2,2,1,17559,224,49,0
14,1,0,6,7,2,1,17903,202,48,0
18,4,1,9,4,2,1,19696,247,44,1
13,4,0,5,6,0,0,16977,237,38,0
13,3,1,6,7,1,0,17677,197,44,1
23,6,1,15,5,0,0,17514,191,35,1
64,4,0,5,9,0,0,16145,174,46,1
14,0,0,11,5,1,0,20075,214,53,1
12,3,0,4,5,1,0,17618,223,44,1
16,3,0,9,8,1,0,18812,227,56,0
14,1,0,8,8,0,0,16342,214,42,1
14,7,1,5,6,0,0,17493,230,48,0
13,4,0,4,3,0,0,18772,221,54,1
20,7,0,8,5,0,0,18272,247,40,1
10,1,1,7,6,2,1,18496,239,62,1
11,2,0,9,5,1,0,19706,216,53,1
14,5,1,7,4,1,0,19832,250,49,0
11,3,1,4,3,1,0,19056,240,56,0
15,2,0,3,5,1,0,16768,231,27,0
14,2,0,13,7,0,0,17966,216,45,1
15,6,0,7,3,0,0,19045,220,40,1
14,5,0,5,5,1,0,17415,211,56,0
17,1,0,7,8,0,0,19247,215,52,1
14,2,1,7,6,1,0,17632,201,45,1
36,0,1,3,2,0,0,18853,252,56,1
14,3,1,1,8,0,0,16872,219,51,0
14,0,0,9,15,0,0,19413,189,60,0
17,3,0,3,3,1,0,17413,230,68,1
32,4,1,8,4,2,1,17845,202,45,1
14,2,1,6,7,1,0,15025,175,48,0
16,1,0,1,8,0,0,15178,191,54,0
41,3,1,4,8,0,0,18190,221,41,1
14,4,0,2,6,1,0,18538,228,65,0
13,6,0,12,8,1,0,17559,199,46,1
16,2,1,8,10,1,0,17437,226,34,1
16,5,0,3,3,1,1,18079,238,52,1
15,4,0,6,4,0,0,18070,223,48,1
16,3,0,4,3,1,0,17817,230,49,0
91,2,1,3,5,0,0,17799,218,48,0
15,3,0,5,7,0,0,14990,182,40,0
24,3,1,3,2,1,1,16564,205,54,0
35,3,0,6,8,0,0,16619,181,40,0
20,1,1,4,9,1,0,17597,222,63,0
15,1,1,7,7,1,0,18784,217,55,1
19,1,1,11,1,1,0,20017,225,65,1
87,4,1,8,7,1,1,19644,248,43,0
16,1,0,3,7,1,1,18522,245,52,0
19,3,1,8,3,1,1,20086,225,56,0
20,2,1,1,2,0,0,16977,213,43,0
21,2,0,4,6,0,0,17736,208,59,1
10,3,0,12,6,0,0,18147,158,43,1
16,3,0,6,11,1,0,16813,191,44,1
18,3,0,8,6,1,0,15376,190,27,0
16,3,0,3,3,0,0,14840,185,50,0
14,4,0,2,5,1,0,16415,221,52,0
15,4,0,4,3,0,0,17330,197,53,0
29,5,0,6,8,0,0,18465,213,68,0
15,3,0,3,4,0,0,18313,230,52,0
17,2,1,5,8,1,0,16807,192,55,0
85,2,1,5,9,1,1,18790,213,67,0
17,1,0,6,11,0,0,15213,179,31,0
40,8,1,6,6,1,0,18793,230,63,1
17,3,1,10,10,0,0,17379,179,40,0
13,2,1,8,6,0,0,17729,206,51,1
17,4,1,5,1,1,0,19467,254,76,1
17,4,1,5,3,0,0,18674,228,66,0
17,4,1,7,7,0,0,17969,214,48,0
19,3,1,13,4,1,0,20283,263,58,1
11,2,0,3,5,0,0,18504,234,47,0
12,1,0,4,12,0,0,15925,192,52,0
18,3,1,10,0,0,0,19945,243,52,1
19,2,0,9,6,1,0,18788,200,56,1
17,0,0,9,8,1,1,19166,227,56,1
15,0,1,3,4,0,0,17474,184,57,1
12,0,0,1,8,0,0,16317,173,46,0
33,2,1,6,5,0,0,19265,203,68,0
15,2,0,5,7,0,0,17737,218,55,1
21,1,1,12,5,0,0,18737,218,63,1
15,1,0,14,4,0,0,18956,216,57,1
10,2,1,12,12,2,1,20209,213,56,0
15,0,0,2,3,0,0,16433,187,48,0
21,5,1,7,5,1,0,18209,238,44,1
14,6,0,7,4,1,1,17149,217,50,0
21,4,1,5,5,1,0,16868,224,43,0
17,1,1,12,9,0,0,17120,190,42,1
18,2,1,4,12,0,0,16141,189,52,0
14,5,1,4,7,0,0,16809,236,45,0
23,2,1,5,3,1,0,19635,245,62,1
14,3,0,2,3,1,0,17487,229,55,1
11,1,0,4,6,1,1,16336,190,56,0
24,3,1,5,8,1,1,17271,219,51,1
14,3,0,6,7,1,0,17104,194,47,0
14,0,0,3,11,0,0,16659,171,59,0
19,2,1,6,12,1,1,16391,203,51,0
17,3,1,2,0,1,0,17517,240,59,1
16,3,0,4,9,1,1,17373,208,60,0
19,2,0,9,9,0,0,17253,187,61,0
14,5,0,17,6,1,0,21451,251,72,1
14,4,1,5,11,1,1,15530,185,44,0
15,2,0,3,7,0,0,16798,220,49,0
12,0,1,3,8,0,0,17404,205,59,0
26,5,1,4,1,0,0,19051,261,41,1
17,2,1,6,3,1,0,18910,233,60,1
17,4,0,5,7,0,0,17304,235,40,1
11,1,0,3,9,0,0,15496,182,53,0
14,1,1,7,10,0,0,17192,214,55,1
12,5,0,4,5,0,0,20102,236,72,0
117,8,1,6,1,1,0,17948,200,56,1
33,1,1,9,5,0,0,19195,199,43,1
17,2,0,11,4,0,0,18943,218,39,1
13,3,1,5,4,1,1,18262,216,66,1
13,2,0,11,4,1,1,19949,218,45,1
16,2,1,6,10,0,0,15969,191,52,1
17,4,1,7,9,0,0,16832,182,38,1
45,10,1,5,7,1,0,17465,216,59,0
13,7,1,8,1,0,0,19127,261,42,1
21,5,0,3,4,1,1,17815,245,53,0
35,2,1,5,4,0,0,17827,215,39,1
41,3,1,8,10,1,0,18130,174,44,1
17,4,1,11,4,1,1,19581,225,45,0
23,0,1,13,4,1,0,18736,213,43,1
11,1,0,5,15,0,0,17147,198,46,0
38,4,1,3,6,0,0,18700,236,48,0
11,2,1,8,6,1,0,19855,216,60,1
13,2,1,5,0,0,0,18095,250,51,1
18,2,0,4,7,1,1,16788,234,48,1
44,3,0,5,14,0,0,16436,203,39,0
14,2,0,2,6,1,0,15723,170,56,0
12,6,1,4,5,1,1,18128,225,63,0
16,4,1,6,5,0,0,16551,209,44,0
18,0,1,11,1,1,1,18617,207,51,1
50,2,0,4,3,1,0,16751,218,48,1
16,1,0,5,9,1,1,16163,163,50,0
35,3,0,3,6,1,0,16319,148,62,0
19,4,1,9,4,0,0,18081,246,48,1
15,1,1,8,3,0,0,18932,270,36,0
16,1,1,3,5,0,0,18222,226,55,1
20,4,1,5,4,0,0,16554,201,44,1
13,2,1,7,2,1,1,17867,218,48,1
14,1,0,3,4,0,0,17316,250,48,0
24,4,1,9,7,0,0,18178,204,40,1
17,2,0,2,7,0,0,15718,192,40,0
12,2,1,10,8,0,0,19091,230,49,0
20,2,0,8,12,2,1,18038,226,54,1
15,4,1,12,5,2,1,18972,218,60,1
38,4,1,9,3,0,0,20323,237,59,1
16,3,1,5,7,0,0,16957,222,51,0
34,5,1,12,5,0,0,21625,237,56,1
18,1,0,2,5,0,0,17716,241,56,0
16,1,1,6,6,0,0,18589,220,44,0
14,2,0,2,5,1,1,18080,233,54,0
86,3,0,4,5,0,0,17215,227,46,1
16,0,0,1,10,1,1,16161,207,60,0
44,5,0,5,2,1,0,17880,248,53,1
13,5,0,4,9,0,0,17421,214,56,0
14,4,1,8,5,1,0,18403,214,54,1
13,6,1,2,5,1,0,17851,211,63,0
14,7,0,1,2,0,0,18127,262,52,0
17,1,0,6,6,0,0,20229,245,72,0
15,1,1,10,8,0,0,18168,194,52,0
14,3,1,3,3,0,0,17782,231,60,0
18,1,0,3,7,0,0,17815,223,42,0
16,2,1,5,6,0,0,18422,225,44,0
15,2,0,6,4,0,0,19652,239,57,1
15,6,0,2,3,0,0,17712,240,51,0
25,1,1,3,6,0,0,16320,209,51,0
17,3,1,5,4,2,1,18522,217,51,0
15,1,0,4,9,1,0,17421,192,68,0
16,2,1,4,4,1,0,18332,234,64,1
19,8,0,5,4,1,0,18135,241,49,0
13,1,0,6,7,1,0,17725,222,48,1
54,6,0,7,6,0,0,20182,189,62,1
15,2,1,10,2,0,0,19373,201,60,1
45,5,0,3,4,0,0,18400,215,54,0
16,3,1,7,4,1,0,18860,262,48,1
15,2,1,7,5,1,0,19542,237,66,1
10,1,1,8,7,1,0,19648,246,55,1
22,5,0,3,2,1,1,19387,253,60,1
129,4,0,7,9,1,0,18238,206,56,1
14,3,1,5,2,1,0,18873,216,56,1
18,7,0,6,9,0,0,17279,196,64,0
14,0,1,12,4,1,1,20654,226,44,1
39,3,1,9,6,1,0,19126,220,48,1
13,0,0,1,11,0,0,14637,164,55,0
18,2,1,2,4,1,0,18119,227,65,1
14,2,1,7,4,2,1,17761,231,48,0
16,2,1,11,10,1,1,18724,202,40,1
20,2,1,6,8,0,0,18401,207,62,0
15,4,1,7,7,0,0,17319,171,57,1
13,4,1,8,4,0,0,18583,206,64,1
11,1,0,5,8,2,1,18784,230,68,1
14,2,1,8,2,0,0,18323,209,49,1
75,2,1,8,5,1,0,19121,198,54,0
15,0,0,9,7,0,0,17764,220,45,0
19,2,1,7,9,0,0,16531,210,40,0
13,3,0,6,10,0,0,17324,195,59,0
15,2,0,5,5,0,0,18609,234,44,0
21,5,1,7,6,2,1,19719,220,55,1
16,3,1,6,7,0,0,17888,199,48,0
19,1,0,4,2,0,0,17501,234,44,1
9,1,0,4,8,0,0,17560,214,47,1
14,1,0,5,3,1,1,19484,241,46,1
11,2,0,3,5,1,0,18085,228,52,1
19,3,1,4,9,1,1,16659,233,42,0
14,3,0,3,10,0,0,14744,212,36,0
35,2,1,9,3,2,1,21016,232,59,1
17,2,1,7,3,1,0,19382,225,72,1
20,5,0,2,4,0,0,18109,240,58,0
11,2,0,5,7,0,0,17035,213,51,0
17,2,0,4,9,0,0,16780,174,64,0
16,3,1,7,7,0,0,17587,228,52,0
21,2,1,11,11,0,0,18276,222,48,0
11,3,0,4,4,0,0,16617,211,47,0
14,4,0,3,11,1,0,16410,182,56,0
11,0,1,5,9,0,0,17137,174,44,0
12,4,0,5,5,0,0,17980,203,52,0
17,3,1,9,4,1,0,18315,238,44,1
10,2,1,6,7,0,0,17635,205,56,0
11,1,0,5,6,0,0,17065,193,45,1
14,5,0,3,8,0,0,18245,220,60,0
14,1,1,4,5,1,0,18966,214,64,1
128,4,1,7,4,2,1,18996,230,52,1
17,6,0,4,5,1,1,19249,223,80,1
138,2,1,3,3,1,0,17795,223,52,1
14,1,0,7,9,0,0,18740,221,40,0
17,1,1,11,7,0,0,18895,193,54,0
14,1,1,6,7,0,0,17793,213,44,0
14,0,1,9,9,0,0,18722,227,48,0
35,2,1,7,5,0,0,18791,241,64,1
19,2,0,3,4,0,0,17178,214,43,0
9,3,0,5,6,0,0,19067,253,56,0
13,1,1,5,7,0,0,16794,191,56,0
13,1,1,1,3,0,0,17794,215,64,0
14,1,0,2,12,0,0,15758,196,52,0
15,2,0,9,2,0,0,18688,232,48,1
13,2,1,12,5,0,0,18664,234,48,0
39,3,1,6,7,1,0,17678,223,44,1
15,3,0,1,2,1,0,18769,261,60,1
13,4,0,2,7,0,0,17827,212,58,0
18,5,1,4,11,0,0,16313,206,46,0
17,0,0,3,8,0,0,16132,184,44,0
13,2,1,7,3,2,1,19145,208,48,1
164,3,0,4,11,0,0,16233,227,38,0
17,4,0,4,6,0,0,18527,255,48,0
16,3,0,8,6,1,1,17256,162,51,0
14,3,1,7,4,1,0,20228,233,57,1
19,3,0,3,4,1,0,18397,225,51,1
17,0,0,2,5,0,0,17428,243,52,1
16,2,0,3,7,0,0,18569,217,67,0
21,4,1,8,4,1,0,19220,224,68,1
81,2,0,4,7,1,0,17836,195,62,1
46,3,0,5,12,0,0,19127,215,52,0
14,6,0,5,6,1,1,17405,221,47,1
39,2,1,9,6,0,0,17918,193,50,1
9,2,0,1,14,0,0,14826,204,20,0
11,3,0,9,8,2,1,18349,216,60,1
15,2,0,6,5,1,0,17946,208,60,1
16,5,0,1,2,1,1,18355,220,63,0
19,3,0,5,4,1,0,20292,249,76,1
13,2,1,9,6,1,0,16893,198,44,0
72,1,0,9,9,0,0,19369,227,43,1
13,1,0,11,11,0,0,17777,213,50,0
25,7,0,7,6,0,0,17333,205,48,1
17,3,1,5,5,0,0,17565,226,53,0
16,2,0,1,2,1,0,17525,244,49,1
14,1,1,4,7,1,0,16297,190,50,0
14,3,0,6,11,0,0,17924,232,55,1
17,1,1,7,8,1,0,17727,216,48,1
34,5,1,13,9,2,1,19555,215,64,1
11,1,0,10,8,1,0,19699,229,42,1
15,3,1,10,8,1,0,18069,212,48,1
14,1,1,9,4,0,0,20236,249,58,0
16,2,1,2,11,1,0,15660,193,56,0
16,2,1,5,9,1,0,17514,238,41,0
20,2,1,9,7,1,0,18023,215,44,1
38,1,1,5,2,2,1,19476,246,56,0
16,4,0,5,7,0,0,16528,198,39,0
16,4,0,7,9,0,0,18822,239,42,1
18,5,1,9,4,1,0,18820,240,40,1
44,3,0,5,9,0,0,18040,231,46,0
10,3,0,8,11,1,0,16907,189,39,0
15,3,0,5,4,1,0,18044,222,68,0
13,5,0,2,7,0,0,16248,227,22,0
35,4,0,7,5,0,0,19072,217,56,0
15,4,1,7,6,0,0,17444,211,48,0
20,2,0,3,3,1,1,18492,238,78,1
16,1,1,4,10,0,0,17517,191,43,0
39,1,0,7,5,1,0,17849,220,48,1
15,2,0,7,11,0,0,16467,223,29,0
16,4,1,6,3,0,0,18132,216,77,1
16,1,1,9,4,0,0,17947,224,36,0
110,0,0,6,10,0,0,16828,216,45,1
12,4,0,3,5,0,0,17825,227,44,1
15,13,1,6,8,1,0,15794,182,49,1
14,1,1,5,8,0,0,17856,214,52,1
11,3,0,7,3,0,0,18030,209,36,1
19,1,1,8,2,0,0,17611,196,48,1
20,3,0,9,8,1,0,17832,201,44,0
40,4,1,8,1,1,1,20672,228,76,1
16,4,0,7,11,1,1,18130,218,50,0
14,3,1,7,10,0,0,16527,184,46,0
17,2,1,4,11,1,0,18316,211,56,0
15,0,0,8,5,0,0,18655,203,65,1
11,4,1,6,7,1,1,18066,215,60,0
16,2,1,3,4,0,0,18040,241,50,0
17,7,1,4,2,0,0,19307,273,60,1
17,2,1,6,3,1,0,19221,249,63,1
18,3,0,7,3,1,0,18221,207,64,1
25,1,0,5,5,0,0,18752,252,59,1
46,4,1,7,4,1,0,18457,205,48,0
15,0,0,3,11,1,0,16488,181,60,0
12,4,0,7,7,0,0,17704,202,52,1
26,1,1,8,1,1,0,18550,182,56,1
15,3,0,2,6,1,0,17299,178,55,0
15,2,0,1,4,1,0,17303,222,55,0
75,1,0,0,7,0,0,15825,214,42,0
42,5,1,10,6,2,1,19584,225,53,1
12,8,0,3,4,1,1,18116,217,51,1
33,2,0,11,7,1,0,18942,198,50,1
14,2,0,7,5,1,0,17452,176,59,1
17,2,0,3,8,0,0,14240,167,36,0
18,1,1,1,1,1,1,17891,231,60,1
37,5,1,10,7,1,0,17299,188,57,1
18,6,0,5,5,2,1,18756,226,68,1
15,2,1,11,2,1,0,19357,234,40,1
14,2,0,1,6,0,0,17108,206,52,0
16,2,1,13,8,1,1,20117,242,62,1
14,3,0,6,5,2,1,18772,231,46,0
18,3,1,3,5,1,1,17797,216,65,0
13,0,1,7,8,0,0,17480,201,60,0
14,5,0,1,5,0,0,15897,180,68,0
18,4,1,4,5,1,1,17390,222,40,0
18,6,0,4,6,0,0,18406,227,56,0
77,3,0,5,6,0,0,18363,223,59,1
14,4,0,9,8,0,0,17623,190,33,1
48,5,0,6,3,1,0,19905,246,68,1
24,3,0,12,8,1,0,17412,202,39,1
15,7,1,8,4,1,1,19469,237,49,1
42,5,1,10,5,0,0,19567,247,55,0
12,2,1,6,2,1,1,18652,234,56,1
12,3,1,4,5,0,0,16373,211,32,0
18,3,0,2,8,0,0,17584,224,53,1
18,3,1,14,5,1,0,20534,250,68,1
18,6,0,4,6,0,0,18383,249,43,1
23,2,1,6,3,0,0,17867,195,44,1
22,0,0,2,5,0,0,16758,210,67,0
17,3,0,6,14,0,0,16419,194,41,0
41,2,0,4,4,1,0,17315,187,50,1
16,2,0,8,8,1,0,19310,220,60,1
18,6,1,4,3,1,0,17563,235,39,0
15,1,1,3,6,1,0,17076,230,52,0
18,5,1,10,2,2,1,17839,257,44,1
17,8,1,7,4,1,1,18674,246,53,1
18,2,1,4,5,1,0,17616,222,56,1
17,3,1,9,6,0,0,18656,226,54,0
18,3,0,8,10,1,0,17097,193,52,0
15,2,0,5,5,0,0,16399,199,40,0
16,4,0,1,3,1,1,17830,244,48,0
19,1,0,9,10,1,0,18195,200,44,0
37,3,1,6,4,0,0,19599,258,64,1
14,2,1,6,9,0,0,17957,229,60,1
18,3,0,12,5,0,0,18481,208,35,1
17,2,1,6,5,1,0,17052,176,60,1
21,2,1,3,5,0,0,18015,238,48,0
12,1,0,10,10,1,1,18896,183,48,1
13,5,0,5,7,1,0,16208,202,50,1
16,3,1,9,2,2,1,18705,219,49,1
21,4,1,4,4,1,0,18839,234,56,1
37,1,1,6,3,2,1,20148,252,68,1
15,2,0,5,8,0,0,19018,210,76,1
12,0,0,1,9,1,0,16509,207,62,0
15,2,0,8,9,1,0,18094,217,50,0
15,3,1,11,4,0,0,19227,228,43,1
16,3,0,3,4,0,0,17876,214,52,1
20,1,1,4,12,0,0,15892,176,47,0
44,4,1,6,4,0,0,19091,225,52,1
13,2,0,1,6,0,0,16884,217,56,1
37,5,1,7,4,0,0,17515,219,50,1
28,3,1,7,12,0,0,16416,200,32,1
18,0,0,3,5,0,0,17992,248,48,0
14,3,1,10,4,1,0,18509,229,45,1
17,5,0,7,7,0,0,17712,219,44,1
17,3,1,5,3,1,0,18841,232,68,1
16,3,1,12,11,0,0,19643,223,43,0
14,0,0,4,6,0,0,18133,218,68,0
18,1,1,6,5,1,0,19311,231,58,1
83,3,0,6,6,1,0,19978,241,64,1
17,3,1,6,3,1,1,18642,229,47,1
13,1,0,3,6,0,0,17149,226,32,0
10,1,1,6,8,1,0,16485,191,36,1
10,2,1,6,8,1,0,15595,137,44,0
49,2,0,6,5,0,0,18231,193,54,0
23,6,1,6,7,0,0,17061,210,56,0
12,1,0,0,5,0,0,16632,222,56,0
9,5,1,8,1,0,0,20143,247,48,0
20,2,0,4,6,0,0,18114,241,44,0
13,3,0,8,7,1,0,18602,248,65,1
17,3,1,4,5,0,0,17216,236,47,0
14,2,0,5,7,0,0,17659,220,48,0
15,5,1,5,4,0,0,18437,242,41,0
13,9,0,3,9,0,0,16015,218,42,0
16,5,1,10,3,1,0,18275,213,35,1
35,2,1,11,8,0,0,17304,235,36,1
18,1,1,11,7,0,0,18621,205,46,0
17,15,1,8,2,1,0,19535,254,32,1
13,3,0,8,7,0,0,18421,204,46,0
16,1,0,7,8,1,0,17047,226,50,0
15,4,1,11,5,0,0,17783,191,44,1
73,3,1,9,13,0,0,13423,141,29,0
17,1,0,8,9,0,0,18004,183,45,0
19,3,1,6,2,1,0,18641,241,52,1
24,1,1,5,3,1,1,17563,219,46,0
14,4,0,6,10,0,0,15177,154,45,1
17,1,0,4,5,0,0,19074,203,52,0
18,2,1,4,5,1,0,17220,228,48,0
8,0,1,4,3,1,0,18693,227,49,1
13,2,1,16,4,1,0,18318,200,36,1
36,4,1,7,4,1,0,18062,206,64,1
18,1,0,7,8,0,0,19368,225,58,0
15,2,1,7,3,1,1,18656,216,47,1
14,2,1,2,6,0,0,16812,223,56,0
20,1,0,4,9,0,0,18090,207,36,0
13,3,0,4,6,2,1,18493,238,44,1
39,4,0,3,6,1,0,17179,218,48,0
18,0,1,3,7,0,0,17661,240,50,1
15,0,0,4,12,0,0,15917,218,35,0
16,5,0,10,11,0,0,17190,167,39,0
14,2,0,7,6,1,0,17548,192,47,0
16,3,1,6,3,1,0,17714,243,45,1
20,3,0,4,2,0,0,18658,242,56,1
16,1,0,5,5,0,0,18765,231,59,1
60,2,1,9,9,1,0,18018,185,50,0
11,1,1,7,7,0,0,19375,222,68,1
21,3,1,5,4,0,0,18272,252,48,1
15,0,0,2,9,0,0,16850,207,48,0
14,4,1,1,10,0,0,15172,226,48,0
37,4,1,4,2,1,0,19777,232,85,1
15,2,1,9,3,0,0,18257,186,48,1
18,3,1,7,4,1,0,17461,220,39,1
14,3,1,8,4,1,0,19382,224,52,1
46,3,0,5,6,0,0,17334,214,43,0
18,5,1,7,6,0,0,16128,211,27,1
16,5,1,9,3,2,1,19981,240,59,1
17,2,1,13,5,0,0,19116,212,30,0
17,1,0,6,6,2,1,17381,211,50,0
15,5,0,4,4,0,0,19807,233,72,1
42,4,0,4,8,1,0,17447,227,60,1
138,4,0,6,4,0,0,15415,199,32,0
18,2,1,10,8,1,1,18454,192,46,1
14,2,1,11,3,1,0,18710,212,49,1
16,4,1,4,7,0,0,18170,204,64,0
15,3,1,6,3,1,0,18524,215,60,1
13,1,1,8,8,1,0,17450,175,44,1
57,4,0,7,2,2,1,20138,237,56,1
21,2,0,5,14,0,0,16548,213,46,0
15,1,1,7,7,0,0,18282,244,51,1
18,5,1,5,10,1,0,19378,253,66,0
17,4,0,4,5,0,0,18122,237,44,0
15,3,0,2,4,0,0,18385,233,60,0
20,3,1,5,2,0,0,18489,235,61,1
11,2,0,5,5,0,0,20238,247,74,1
15,2,0,7,5,1,0,20151,223,68,0
14,2,0,4,3,1,0,18001,212,56,0
14,1,1,10,8,0,0,19069,200,47,1
16,2,1,6,4,0,0,17614,220,48,1
25,3,1,4,8,0,0,16086,193,47,0
90,1,1,4,5,0,0,17687,217,47,0
58,2,0,10,9,1,0,17639,201,48,0
41,3,1,7,7,1,0,18112,219,48,1
15,4,1,6,1,1,1,19324,247,50,1
14,1,1,7,6,2,1,17377,197,42,1
78,1,1,4,10,0,0,16650,183,60,0
18,4,1,5,5,2,1,17698,236,57,1
10,4,0,8,8,1,1,18690,221,48,0
60,4,1,7,3,1,0,18699,226,56,0
11,0,0,5,10,0,0,15556,156,49,0
10,1,0,5,12,0,0,17019,169,58,0
16,2,1,6,2,0,0,19834,245,56,1
17,1,0,5,13,0,0,15033,171,41,0
39,1,0,3,7,0,0,16807,207,47,0
18,3,0,3,7,1,0,17368,234,60,0
16,1,0,5,12,0,0,16172,195,44,0
17,2,1,12,5,1,0,18421,234,44,1
16,2,0,2,9,1,0,16696,214,72,1
10,2,0,1,6,0,0,17304,230,45,0
13,2,1,4,8,0,0,16454,193,48,0
21,4,0,5,6,1,0,16860,200,60,0
60,3,1,3,2,0,0,18643,230,53,0
16,2,1,5,8,0,0,18011,214,52,0
17,5,0,9,10,0,0,18451,214,44,0
13,5,1,5,3,0,0,17771,237,45,0
13,1,1,13,3,1,0,20574,235,52,1
47,3,0,6,5,0,0,18276,233,48,1
17,2,1,13,5,2,1,20886,238,58,1
15,2,1,2,5,0,0,17867,219,50,1
41,13,1,2,4,1,1,18148,225,68,1
19,14,1,8,3,1,0,19337,218,67,1
12,2,1,5,5,0,0,16889,186,50,0
13,2,1,5,7,0,0,17503,192,41,0
17,3,1,8,3,1,1,21508,257,71,1
14,5,1,10,7,1,0,19223,237,47,1
18,2,0,5,6,1,0,17584,200,52,0
18,3,0,2,5,1,0,17772,218,67,0
10,1,0,5,12,0,0,16976,195,40,0
16,4,1,10,6,1,0,18571,216,50,0
13,2,1,11,4,1,1,19465,243,55,1
9,4,0,7,9,0,0,17715,223,43,0
16,1,1,5,3,2,1,18081,224,52,1
16,1,0,6,10,0,0,17976,176,52,0
17,1,0,12,9,1,1,19498,190,55,0
18,5,0,6,9,2,1,18264,238,60,1
17,4,0,11,9,1,0,19498,221,55,1
16,4,1,2,7,0,0,16705,203,47,0
14,4,0,7,4,1,0,18562,215,45,0
19,3,0,13,10,0,0,18350,185,36,1
43,3,1,4,5,0,0,17789,242,48,0
86,3,1,6,4,0,0,19289,241,44,0
38,1,0,7,8,1,1,17503,206,59,0
15,0,0,6,1,1,0,19869,262,51,1
39,4,1,2,8,0,0,17963,264,43,1
16,1,0,1,9,0,0,15622,173,60,0
16,3,1,6,7,0,0,18124,238,47,1
16,4,0,6,5,0,0,19124,257,47,1
18,2,1,8,0,0,0,19904,244,64,1
14,2,1,8,4,1,0,18694,267,52,0
16,2,1,12,7,0,0,18944,225,51,1
17,1,0,6,4,0,0,18518,238,38,0
14,1,0,8,10,1,0,17921,244,56,0
14,5,1,3,7,1,0,16723,220,55,0
21,0,1,7,9,0,0,16620,187,37,1
14,0,0,5,9,0,0,17772,203,43,0
41,5,1,6,10,1,1,16260,179,32,0
18,3,0,7,6,0,0,17570,207,48,1
38,3,1,7,2,0,0,17488,209,47,0
12,3,0,3,4,0,0,18851,231,64,0
15,0,1,2,12,0,0,15189,183,40,0
17,0,1,8,1,0,0,18408,232,42,1
13,0,0,3,11,0,0,15298,192,27,0
15,2,0,5,8,0,0,18216,214,62,1
18,3,1,4,8,2,1,18069,245,41,0
13,3,0,6,4,0,0,19108,260,52,1
15,1,0,5,13,0,0,16774,214,39,0
17,7,1,6,9,0,0,17041,196,52,0
16,4,1,8,3,1,0,17748,179,44,1
122,1,0,3,2,1,0,18279,211,59,0
14,2,0,13,8,1,0,17743,186,48,0
18,4,0,5,4,1,1,18847,239,43,0
14,2,1,6,0,0,0,19471,226,68,0
34,5,1,1,7,0,0,17469,236,60,1
16,3,1,6,9,1,0,17653,221,45,0
14,3,1,10,2,1,0,18447,242,43,1
18,1,1,7,7,1,0,15756,192,44,0
16,3,0,5,8,0,0,16964,223,44,0
146,5,1,13,9,1,0,20672,224,67,1
20,2,1,5,5,0,0,18673,222,53,0
15,5,0,9,8,0,0,18106,214,41,1
15,1,0,4,4,2,1,18992,251,67,1
14,1,1,6,5,1,0,18416,240,67,1
16,3,1,5,7,2,1,19247,231,70,1
14,4,0,4,9,1,1,16376,171,60,1
13,0,1,2,4,0,0,17686,214,50,0
17,3,0,3,9,1,1,17637,207,72,0
19,3,0,2,6,1,0,17015,180,72,1
10,3,0,7,7,0,0,18219,223,48,1
15,2,1,7,9,0,0,16142,197,42,1
15,2,0,7,5,0,0,16813,181,52,0
18,0,0,7,7,0,0,17158,205,47,0
22,4,1,10,9,1,0,18046,195,28,0
13,3,1,2,9,1,0,16366,203,55,0
14,4,1,3,9,0,0,15277,171,40,0
13,5,1,5,6,0,0,18684,239,41,0
12,2,0,5,7,1,0,17799,242,44,1
16,2,1,6,8,0,0,18206,233,44,0
15,4,0,5,10,0,0,16749,202,51,0
12,1,1,13,6,2,1,17699,179,48,0
17,6,0,11,4,0,0,19830,234,39,1
41,2,1,5,6,1,1,19074,224,53,0
13,2,1,8,6,1,0,16973,195,40,0
32,4,1,10,9,0,0,16118,159,47,1
18,5,1,8,4,0,0,18369,211,50,0
15,3,0,9,3,1,0,17892,201,36,1
15,3,1,6,6,0,0,18668,233,55,1
