1_Field name,2_Reservoir unit,5_Resource uncertainty,8_Country,10_Region,11_Basin name,15_Latitude,16_Longitude,18_Hydrocarbon type (main),32_Current status year,33_Current reservoir status,34_Current production stage,35_Well count (total all wells),38_Well count (total producer),46_Well count (current active producer),52_Well spacing (average) (ac),58_Production year (current),62_Production rate (current oil equivalent) (BOEPD),65_Water-cut (current) (%),66_Production year (peak),70_Production rate (peak oil equivalent) (BOEPD),72_Onshore or offshore,73_Water_Depth (ft),75_Temperature (original) (deg. F),76_Temperature depth (ft TVDSS),77_Pressure (original) (psi),78_Pressure depth (ft TVDSS),80_Pressure year (current),81_Pressure (current) (psi),82_Drive mechanism (main),111_Trapping mechanism (main),116_Depth to top reservoir (ft TVD),117_Reservoir top subsea depth (ft TVDSS),118_Structural flank dip (average) (deg.),135_Hydrocarbon column height (original total) (ft),149_Reservoir period,153_Depositional system (main),161_Reservoir architecture (main),163_Fluid flow restriction,170_Gross reservoir thickness (average) (ft),173_Net reservoir thickness (average) (ft),176_Net/gross ratio (average),179_Net pay (average) (m),182_Reservoir lithology (main),184_Grain_Size_Texture,189_Composition,199_Fracture reservoir type,200_Porosity type (main),204_Porosity (matrix average) (%),210_Permeability (air average) (mD),213_Permeability (well test average) (mD),218_API gravity (average) (deg. API),222_Specific gravity (gas average),225_Viscosity (oil average) (cp),230_Mobility index (average) (mD/cp),236_Oil_impurities (average),242_Methane (average) (%),243_Gas_impurities (average),252_GOR (initial average) (SCF/STB),255_Condensate yield (initial average) (BC/MMCFG),258_FVF (oil average) (RB/STB),263_Bubble point pressure (average) (psi),266_Pour point temperature (average) (deg. F),273_Formation water salinity (average) (mg/L),276_Water saturation (initial average) (%),293_Original in-place oil equivalent (MMBOE),300_EUR oil equivalent (MMBOE),301_Remaining EUR oil (MMBO),302_Remaining EUR gas (BCFG),304_Recovery factor (primary oil) (%),307_Recovery factor (ultimate oil) (%),308_Recovery factor (ultimate gas) (%),310_Recovery to date (of in-place oil) (%),311_Recovery to date (of in-place gas) (%),313_Recovery (best-fit ultimate oil) (%),314_Reservoir performance index (decimal fraction),315_EUR oil per production well (MMBO),319_Secondary recovery start date,320_Secondary recovery methods,324_EOR start date,325_EOR methods,333_Improved recovery methods (other),334_Improved recovery methods (drilling),335_Improved recovery methods (stimulation),336_Improved recovery methods (water injection optimization),337_Improved recovery methods (artificial lift),338_Improved recovery methods (sand control),339_Improved recovery methods (other reservoir management)
COLDWATER,DUNDEE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,MICHIGAN,43.7578,-85.0455,OIL,1986.0,ABANDONED,MATURE,77.0,77.00,14.0,40.0,1986.0,35.0,99.2,1948.0,6060.0,ONSHORE,-1000.0,120.0,2650.0,1453.0,2650.0,1955.0,1371.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,3690.0,2690.0,2.0,60.0,DEVONIAN,11:LOW-ENERGY CARBONATE MUD,TANK LIKE,STRUCTURAL SADDLENONE,100.0,60.0,0.6,7.62,CARBONATES,,,,FRACTURE/VUGGY,3.4,,,48.6,,0.65,,0.23,52.8,7.6,512.0,,1.31,1190.0,-30.0,251229.0,20.0,43.0,22.3,0.0,,51.9,51.9,,51.86,,37.0,0.1,0.29,,,,,STIMULATION/ARTIFICIAL LIFT,,ACIDIZATION,,ROD PUMP,,
COTTONWOOD CREEK,PHOSPHORIA (ERVAY),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,BIG HORN,44.039,-107.748,OIL,2006.0,SECONDARY RECOVERY,MATURE,376.0,,198.0,120.0,2012.0,545.0,80.4,1957.0,14858.0,ONSHORE,-4500.0,110.0,,3331.0,1450.0,,,GAS DRIVE,2111:LATERAL FACIES CHANGE,4700.0,200.0,7.0,6500.0,PERMIAN,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE/LABYRINTH,SHALE/TIGHT CARBONATENONE,65.0,21.0,0.32,6.4,CARBONATES,BOUNDSTONE,ALGAE,TYPE II,FENESTRAL/VUGGY,8.0,0.5,300.0,27.0,,2.75,0.18,33.7,,0.0,380.0,,1.14,1470.0,,,20.0,229.8,69.4,2.3,,,30.2,,29.2,,31.0,0.09,0.27,1958,CONTINUOUS WATER INJECTION/GAS RECYCLING,,,STIMULATION/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION/ACID FRACTURING,CHANGING WATER INJECTION DIRECTION,,,HIGH WATER-CUT WELL SHUT-IN
CRYSTAL (USA),DUNDEE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,MICHIGAN,43.2827,-84.8716,OIL,2012.0,PRIMARY RECOVERY,MATURE,,193.00,9.0,10.0,2012.0,,,1935.0,,ONSHORE,-820.0,143.45317940608302,,1918.2006994745439,,1997.0,1445.0,AQUIFER DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,3187.0,2367.0,0.5,43.0,DEVONIAN,12:HIGH-ENERGY CARBONATE SAND,TANK LIKE,STRUCTURAL SADDLENONE,100.0,100.0,1.0,8.23,CARBONATES,PACKSTONE/GRAINSTONE,BRYOZOAN/CRINOID,TYPE II,FRACTURE,10.0,3.0,,44.0,,,,0.31,,0.0,,,,,,150000.0,20.3,,,0.06,,20.75,20.75,,20.5,,,,0.04,,,,,DRILLING/STIMULATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,ACIDIZATION,,,,HIGH WATER-CUT WELL SHUT-IN/SIDETRACKING/WATER CONING CONTROL/WATER PLUGGING
DALEEL,UPPER SHUAIBA (BLOCK B),1P ,OMAN,MIDDLE EAST,NORTH OMAN FORELAND,22.7205,55.5688,OIL,2010.0,SECONDARY RECOVERY,PRIMARY REJUVENATING,53.0,32.00,,14.83,2008.0,,23.0,2010.0,,ONSHORE,-328.08,166.8146950274675,,2501.9,4593.18,2008.0,2556.58,AQUIFER DRIVE,1212:HORST BLOCK,5085.3,,4.0,246.06,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATELATERAL DIAGENETIC CHANGE,131.23,82.02,0.63,13.0,CARBONATES,WACKESTONE/PACKSTONE,FORAMINIFERA/PELOID,,INTERPARTICLE/INTERCRYSTALLINE,30.0,18.24,,36.95,,0.8,,0.0,,0.0,,,1.24,1685.34,,,,,,22.01,,11.0,35.0,,18.12,,,,2.54,2004,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION,SELECTIVE INJECTION,ROD PUMP/ESP/PCP,,HIGH GOR WELL SHUT-IN/SIDETRACKING
DAN,CHALK GROUP,1P ,DENMARK,EUROPE,NORTH SEA CENTRAL,55.4696,5.1338,OIL,2012.0,SECONDARY RECOVERY,DECLINE,111.0,62.00,62.0,8.3,2012.0,44177.4,82.2,2001.0,135526.4,OFFSHORE,130.0,163.0,6200.0,3800.0,6200.0,,,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,5570.0,5700.0,4.0,953.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LAYER-CAKE,BLOCK-BOUNDING FAULT/TIGHT CARBONATENONE,500.0,,,48.77,CARBONATES,WACKESTONE,COCCOLITH,TYPE III,MICROPOROSITY,28.0,1.75,,30.4,,0.58,3.02,0.32,,0.0,640.0,,1.3,3820.0,-49.0,70000.0,30.0,3233.0,957.0,127.0,142.0,6.0,27.5,48.0,23.1,41.3,34.0,0.02,12.86,1989,CONTINUOUS WATER INJECTION,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/EXTENDED REACH WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/ACID FRACTURING,MODIFICATION IN INJECTION PATTERN,GAS LIFT,,SCALE REMOVAL
DARQUAIN,FAHLIYAN,1P ,IRAN,MIDDLE EAST,MESOPOTAMIAN,30.7341,48.4337,OIL,2010.0,DEVELOPING,DEVELOPING,29.0,23.00,22.0,0.0,2010.0,160000.0,,2010.0,160000.0,ONSHORE,-13.12,284.0,,5367.0,14829.0,,,GAS DRIVE,1141:BASEMENT-UPLIFT ANTICLINE,13300.0,13287.0,4.0,920.0,CRETACEOUS,13:ORGANIC BUILDUP,LAYER-CAKE,TIGHT CARBONATENONE,1600.0,920.0,0.56,,CARBONATES,GRAINSTONE/BOUNDSTONE,ALGAE,,MOLDIC/VUGGY,15.0,10.0,,35.0,,0.34,29.4,0.8,,0.0,,,,,,,,3280.0,1134.0,1052.0,,,35.0,,2.5,,,,51.5,,GAS INJECTION,,,,,,,,,
DEEP PANUKE,ABENAKI 5,2P ,CANADA,NORTH AMERICA,SCOTIAN,43.0,-61.49,GAS,2013.0,PRODUCING,DEVELOPING,14.0,4.00,,0.0,,15205.1,,,,OFFSHORE,144.36,233.6770190421519,,5258.0,10856.3,,,GAS DRIVE,241:DOLOMITIZATION-DISSOLUTION,10518.37,10662.73,1.0,833.33,JURASSIC,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,SHALE/TIGHT CARBONATELATERAL DIAGENETIC CHANGE,393.7,160.76,0.41,,CARBONATES,FLOATSTONE/RUDSTONE/BOUNDSTONE,CORAL/SPONGE/STROMATOPOROID,TYPE II,INTERCRYSTALLINE/VUGGY,13.0,,,0.0,0.62,,,0.18,91.0,4.41,,3.28,,,,94589.0,19.0,166.7,115.02,,676.0,,,69.0,,0.01,,,,,,,,OTHER RESERVOIR MANAGEMENT,,,,,,SIDETRACKING
DEFA,WAHA-DEFA,1P ,LIBYA,AFRICA,SIRT,28.0781,19.915,OIL,1982.0,SECONDARY RECOVERY,,228.0,164.00,164.0,0.0,1982.0,164490.0,,1980.0,212000.0,ONSHORE,-635.0,168.04165762950726,,2490.0,4980.0,1971.0,2100.0,AQUIFER DRIVE,1161:FAULT-BLOCK COMPACTION ANTICLINE,5185.0,4550.0,,587.0,PALEOGENE/CRETACEOUS,13:ORGANIC BUILDUP,LAYER-CAKE, LATERAL FACIES CHANGE,860.0,,,64.01,CARBONATES,PACKSTONE/GRAINSTONE,ALGAE/CORAL/RUDIST,,MOLDIC/VUGGY,20.0,20.0,,34.0,,3.2,6.25,0.28,,0.0,280.0,,,1276.0,,110000.0,10.0,5217.0,1800.0,951.0,,11.0,34.5,,16.27,,,,11.0,1970-09,CONTINUOUS WATER INJECTION,,,STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,,ACIDIZATION,,ESP,,RE-COMPLETION
DICKINSON,LODGEPOLE,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,46.8987,-102.8289,OIL,2011.0,SECONDARY RECOVERY,DECLINE,5.0,4.00,3.0,320.0,2011.0,161.0,84.8,1995.0,3515.0,ONSHORE,-2515.0,224.0,,4536.0,7271.0,1994.0,3638.0,GAS DRIVE,2121:ORGANIC BUILDUP,9722.0,7207.0,35.0,167.0,CARBONIFEROUS,13:ORGANIC BUILDUP,JIGSAW-PUZZLE,TIGHT CARBONATENON-FRACTURED ZONE,,,,,CARBONATES,WACKESTONE/PACKSTONE,BRYOZOAN/CRINOID,TYPE II,VUGGY,5.4,1.0,500.0,43.9,,0.29,2000.0,0.0,,0.0,468.0,,1.36,1465.0,,,10.6,19.4,7.9,0.9,,27.7,40.5,,36.24,,54.0,-0.06,1.98,1994-10,CONTINUOUS WATER INJECTION,,,OTHER RESERVOIR MANAGEMENT,,,,,,RE-COMPLETION/SIDETRACKING/WATER PLUGGING
DICKMAN,WARSAW-SALEM LIMESTONES,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,ANADARKO,38.5748,-100.0036,OIL,2012.0,SECONDARY RECOVERY,MATURE,47.0,,13.0,46.63,2012.0,69.0,94.0,1994.0,175.0,ONSHORE,-2345.8,121.0,2000.0,2190.0,2000.0,,,,222:BURIED EROSIONAL RELIEF,4276.0,1930.0,3.0,51.0,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULTSHALE-FILLED CHANNEL,100.0,,,2.13,CARBONATES,,,,,21.0,,,37.0,,,,0.0,,0.0,,,,,,45000.0,,,2.0,0.14,,,,,,,,,0.04,1962,CONTINUOUS WATER INJECTION,,,,,,,,,
DUKHAN,ARAB C,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,750.0,,300.0,250.0,2001.0,335000.0,,2001.0,335000.0,ONSHORE,-66.0,194.0,5600.0,2915.0,5600.0,1967.0,2915.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,5297.0,5231.0,9.0,1289.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,84.0,15.0,0.19,4.57,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,18.0,30.0,,37.0,,0.6,50.0,1.8,,0.0,735.0,,1.4,,,220000.0,20.0,4600.0,1680.0,,,,38.2,,,,,,,1965,CONTINUOUS WATER INJECTION/DUMP FLOOD,,,DRILLING/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,,
DUKHAN,ARAB D,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,750.0,,300.0,250.0,2001.0,335000.0,,2001.0,335000.0,ONSHORE,-66.0,207.0,6253.0,3263.0,6250.0,2001.0,2635.0,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,5439.0,5373.0,9.0,1327.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATLATERAL FACIES CHANGE,231.0,120.0,0.52,36.58,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,22.0,70.0,,42.0,,0.4,175.0,1.1,70.0,5.41,1070.0,,1.67,3160.0,,,20.0,15666.67,7355.0,1652.0,,,42.7,,29.42,,,,17.7,1970,CONTINUOUS WATER INJECTION/DUMP FLOOD,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/SCALE INHIBITOR TREATMENT,,GAS LIFT,,GAS CONING CONTROL/SIDETRACKING/WATER CONING CONTROL
DUKHAN,UWAINAT,1P ,QATAR,MIDDLE EAST,THE GULF,25.4211,50.7836,OIL,2001.0,SECONDARY RECOVERY,SECONDARY DECLINE,,,,0.0,2001.0,,,,,ONSHORE,-66.0,219.0,7050.0,3520.0,7050.0,,,AQUIFER DRIVE,1151:SALT-DIAPIR ANTICLINE,6721.0,6655.0,9.0,591.0,JURASSIC,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,STRUCTURAL SADDLE/TIGHT CARBONATE/TAR MATSEALING FAULT,120.0,75.0,0.63,22.86,CARBONATES,PACKSTONE/GRAINSTONE,OOLITE/PELOID,,INTERPARTICLE,18.0,15.0,,42.5,0.86,0.25,60.0,0.8,,0.0,1060.0,,1.62,3506.0,,,30.0,600.0,180.0,,,,30.0,,,,,,,,,,,DRILLING/ARTIFICIAL LIFT,INFILL WELL/HORIZONTAL WELL,,,GAS LIFT,,
DUNE,GRAYBURG,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,PERMIAN,31.5521,-102.4349,OIL,2011.0,SECONDARY RECOVERY,MATURE,1225.0,1225.00,,10.0,2011.0,1434.0,,1971.0,32073.0,ONSHORE,-2900.0,88.0,400.0,1506.0,400.0,1989.0,400.0,GAS DRIVE,2111:LATERAL FACIES CHANGE,3300.0,400.0,5.0,800.0,PERMIAN,12:HIGH-ENERGY CARBONATE SAND,LAYER-CAKE,TIGHT CARBONATE/EVAPORITELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,300.0,,,24.38,CARBONATES,GRAINSTONE,CRINOID/PELOID,,INTERPARTICLE/INTERCRYSTALLINE,13.0,11.0,,34.0,,2.92,3.76,0.0,,0.0,384.0,,1.13,,,41.5,25.0,978.0,205.0,,,,21.0,,20.35,,,,0.24,1971,CONTINUOUS WATER INJECTION,,,DRILLING/ARTIFICIAL LIFT,INFILL WELL,,,ROD PUMP,,
EAGLE SPRINGS,GARRETT RANCH/SHEEP PASS,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,GREAT,38.5999,-115.5275,OIL,2011.0,PRIMARY RECOVERY,SECONDARY MATURE,36.0,22.00,15.0,29.0,2011.0,161.0,92.41,1966.0,841.0,ONSHORE,-4792.0,200.0,1608.0,2800.0,1701.0,,,AQUIFER DRIVE,132:STRUCTURAL NOSE,5742.0,950.0,25.0,800.0,PALEOGENE,15:LACUSTRINE CARBONATE,JIGSAW-PUZZLE,BLOCK-BOUNDING FAULT/SHALENON-FRACTURED ZONE,,,,,CARBONATES,VERY FINE-GRAINED SANDBRECCIA,FELDSPATHIC LITHARENITE/QUARTZ ARENITEOSTRACOD,,FRACTURE/BRECCIA,16.0,7.0,,27.5,,,,1.7,,0.0,,,,,72.0,24298.0,75.0,,6.0,0.5,,,,,,,,,0.27,,,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,ROD PUMP,,ACID WASH/RE-PERFORATION
EAST BAGHDAD,HARTHA,3P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPMENT PENDING,DEVELOPING,,,,0.0,2006.0,,,,,ONSHORE,-197.0,184.5939615386692,,3846.591708318679,,,,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,6530.0,6332.0,0.5,,CRETACEOUS,12:HIGH-ENERGY CARBONATE SAND,,TIGHT CARBONATELATERAL FACIES CHANGE,955.0,,,,CARBONATES,PACKSTONE/GRAINSTONE,FORAMINIFERA,,INTERPARTICLE,,,,19.0,,,,0.0,,0.0,247.0,,,,,,,11580.0,1500.0,,,,13.0,,,,,,,,,,,,,,,,,
EAST BAGHDAD,KHASIB,1P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPING,DEVELOPING,,32.00,1.0,0.0,2006.0,1500.0,,1989.0,20000.0,ONSHORE,-197.0,104.2322183960465,,79.7974254134433,,,,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,,,0.5,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,,BLOCK-BOUNDING FAULT/TIGHT CARBONATELATERAL FACIES CHANGE,304.0,,,,CARBONATES,WACKESTONE,PLANKTONIC FORAMINIFERA,TYPE IV,INTERPARTICLE,23.0,4.95,,19.0,,,,0.0,,0.0,310.0,,,,,,,6450.0,840.0,,,,13.0,,0.79,,,,,,,,,,,,,,,
EAST BAGHDAD,TANUMA,3P ,IRAQ,MIDDLE EAST,MESOPOTAMIAN,33.28,44.49,OIL,2006.0,DEVELOPMENT PENDING,DEVELOPING,,,,0.0,2006.0,,,,,ONSHORE,-197.0,104.2322183960465,,79.7974254134433,,,,GAS DRIVE,125:WRENCH-FAULT FLOWER STRUCTURE,,,0.5,,CRETACEOUS,11:LOW-ENERGY CARBONATE MUD,,BLOCK-BOUNDING FAULT/TIGHT CARBONATELATERAL FACIES CHANGE,300.0,,,,CARBONATES,WACKESTONE,PLANKTONIC FORAMINIFERA,TYPE IV,INTERPARTICLE,22.0,6.4,,19.0,,,,0.0,,0.0,324.0,,,,,,,5620.0,730.0,,,,13.0,,,,,,,,,,,,,,,,,
EAST CROSSFIELD,WABAMUN (A POOL),1P ,CANADA,NORTH AMERICA,WESTERN CANADA,51.4001,-114.0265,GAS,2006.0,PRIMARY RECOVERY,MATURE,,,,1620.0,2006.0,5334.0,,1972.0,20266.7,ONSHORE,-3670.0,178.0,5410.0,3620.0,5410.0,1988.0,800.0,GAS DRIVE,2121:ORGANIC BUILDUP,7700.0,4030.0,0.8,1400.0,DEVONIAN,13:ORGANIC BUILDUP,JIGSAW-PUZZLE, LATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,100.0,70.0,0.7,20.73,CARBONATES,FLOATSTONE/BOUNDSTONE,STROMATOPOROID,TYPE II,INTERCRYSTALLINE,6.1,5.2,,0.0,0.89,,,0.0,,50.5,,4.0,,,,,18.0,243.0,207.0,,,,,85.0,,36.1,,,,,,,,STIMULATION/ARTIFICIAL LIFT,,ACID FRACTURING,,GAS LIFT,,
EKOFISK,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.5357,3.1985,OIL,2012.0,SECONDARY RECOVERY,SECONDARY DECLINE,326.0,243.00,117.0,0.0,2012.0,148324.89,65.0,2002.0,299060.0,OFFSHORE,230.0,268.0,10400.0,7135.0,10400.0,2006.0,5118.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9250.0,9480.0,3.0,1200.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,820.0,590.0,0.71,179.83,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,32.0,1.5,50.0,36.0,0.68,1.0,1.5,0.2,78.3,1.8,1530.0,,1.72,5560.0,25.0,61000.0,6.0,8530.0,4549.0,717.0,,18.0,52.0,,41.49,,53.0,0.08,15.3,1975,CONTINUOUS WATER INJECTION/GAS RECYCLING,,,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL/HORIZONTAL WELL/MULTI-LATERAL WELL,ACID FRACTURING,MODIFICATION IN INJECTION PATTERN,,,PROFILE MODIFICATION/SIDETRACKING/WATER PLUGGING
EKOFISK WEST,TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.5667,3.0847,GAS-CONDENSATE,1998.0,ABANDONED,,22.0,21.00,12.0,33.0,1998.0,4445.0,,1978.0,142172.0,OFFSHORE,230.0,266.0,10400.0,7200.0,10400.0,1988.0,2000.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,9870.0,10100.0,4.0,450.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,JIGSAW-PUZZLE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,650.0,360.0,0.55,109.73,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,30.0,1.5,,44.0,0.7,,,0.09,,0.0,,244.0,1.4,,13.0,60000.0,15.0,594.0,262.0,,,,,76.0,,76.15,,,,,,,,STIMULATION/OTHER RESERVOIR MANAGEMENT,INFILL WELL,ACIDIZATION,,,,SIDETRACKING
EL BUNDUQ,ARAB D,1P ,QATAR-UNITED ARAB EMIRATES,MIDDLE EAST,RUB AL KHALI,25.0986,52.6142,OIL,1998.0,SECONDARY RECOVERY,SECONDARY DECLINE,43.0,23.00,23.0,0.0,1998.0,21012.0,,1989.0,44307.0,OFFSHORE,58.0,223.0,8800.0,4412.0,8800.0,1983.0,3850.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8162.0,8220.0,4.0,858.0,JURASSIC,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATE/TAR MATSEALING FAULT,340.0,280.0,0.82,85.35,CARBONATES,MUDSTONE,,,INTERCRYSTALLINE,14.0,16.0,,39.0,,0.2,,1.4,,39.9,1980.0,,2.04,4150.0,,,,500.0,270.0,85.0,,,54.0,,37.0,,,,6.75,1979,CONTINUOUS WATER INJECTION,,,DRILLING/WATER INJECTION OPTIMIZATION/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL,,MODIFICATION IN INJECTION PATTERN,,,COILED TUBING TREATMENT/SIDETRACKING/WATER PLUGGING
ELDFISK,HOD-TOR-EKOFISK,1P ,NORWAY,EUROPE,NORTH SEA CENTRAL,56.4291,3.2039,OIL,2012.0,SECONDARY RECOVERY,SECONDARY DECLINE,134.0,112.00,,0.0,2012.0,45442.0,33.8,1980.0,101246.0,OFFSHORE,230.0,268.0,9400.0,6817.0,9400.0,1998.0,2534.0,GAS DRIVE,1151:SALT-DIAPIR ANTICLINE,8670.0,8900.0,15.0,650.0,PALEOGENE/CRETACEOUS,14:FORESLOPE-BASIN,LABYRINTH,STRUCTURAL SADDLE/TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE/NON-FRACTURED ZONE,480.0,400.0,0.8,121.92,CARBONATES,,COCCOLITH,TYPE III,MICROPOROSITY,30.0,1.5,,37.0,0.7,0.11,15.0,0.2,,0.0,1804.0,,1.91,6005.0,25.0,52000.0,15.0,3567.0,1131.0,235.0,191.0,23.5,31.0,34.4,22.57,,,,7.74,2000-01,CONTINUOUS WATER INJECTION/GAS RECYCLING,,,DRILLING/STIMULATION/ARTIFICIAL LIFT/OTHER RESERVOIR MANAGEMENT,HORIZONTAL WELL/MULTI-LATERAL WELL,ACIDIZATION/HYDRAULIC FRACTURING (SINGLE STAGE)/HYDRAULIC FRACTURING (MULTI-STAGE),,GAS LIFT,,SIDETRACKING
ELK BASIN,MADISON,1P ,UNITED STATES OF AMERICA,NORTH AMERICA,BIG HORN,44.9789,-108.855,OIL,2012.0,SECONDARY RECOVERY,MATURE,,123.00,,30.0,2012.0,1313.0,98.7,1967.0,23882.0,ONSHORE,-4600.0,135.0,,2264.0,,1989.0,2100.0,AQUIFER DRIVE,1111:THRUST ANTICLINE,4350.0,-250.0,35.0,1700.0,CARBONIFEROUS,12:HIGH-ENERGY CARBONATE SAND,JIGSAW-PUZZLE,TIGHT CLASTICS/TIGHT CARBONATELATERAL DIAGENETIC CHANGE/NON-KARSTIC ZONE,780.0,,,62.48,CARBONATES,PACKSTONE/GRAINSTONE,,TYPE II,INTERCRYSTALLINE,12.0,7.0,,28.0,,68.0,0.1,1.92,,0.0,235.0,,1.12,1140.0,5.0,3150.0,21.0,526.0,200.0,6.0,,,38.0,,36.88,,31.0,0.07,1.63,1962,CONTINUOUS WATER INJECTION,1987,MISCIBLE,DRILLING/STIMULATION/WATER INJECTION OPTIMIZATION,INFILL WELL,ACIDIZATION,WATER INJECTION ON A ZONAL BASIS/MODIFICATION IN INJECTION PATTERN,,,
ELKHORN RANCH,MISSION CANYON (MADISON),1P ,UNITED STATES OF AMERICA,NORTH AMERICA,WILLISTON,47.2376,-103.5028,OIL,2008.0,PRIMARY RECOVERY,SECONDARY MATURE,124.0,40.00,18.0,80.0,2008.0,642.0,70.8,1990.0,3624.0,ONSHORE,-2300.0,216.0,,4490.0,,,,AQUIFER DRIVE,255:HYDRODYNAMIC,9125.0,6825.0,1.3,125.0,CARBONIFEROUS,11:LOW-ENERGY CARBONATE MUD,LAYER-CAKE,TIGHT CARBONATELATERAL FACIES CHANGE/LATERAL DIAGENETIC CHANGE,105.0,,,12.19,CARBONATES,MUDSTONE/WACKESTONE,BRACHIOPOD/CRINOID,TYPE IV,INTERCRYSTALLINE,16.0,25.0,,46.0,,0.23,109.0,0.0,,0.0,450.0,,1.63,,,100000.0,35.0,50.0,22.0,3.9,,,44.0,,36.2,,42.0,0.1,0.55,,,,,DRILLING/STIMULATION,INFILL WELL/HORIZONTAL WELL,ACIDIZATION,,,,
